"",BBSSY.D.REN.EUR.A630.000000WT1010.A,BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS,BBSSY.D.REN.EUR.A620.000000WT0505.A,BBSSY.D.REN.EUR.A620.000000WT0505.A_FLAGS,BBSSY.D.REN.EUR.A610.000000WT0202.A,BBSSY.D.REN.EUR.A610.000000WT0202.A_FLAGS
"",Daily yield of the current 10 year federal bond,,Daily yield of the current five-year Federal notes,,Daily yield of the current (two-year) Federal Treasury notes,
unit,PROZENT,,PROZENT,,PROZENT,
unit multiplier,one,,one,,one,
last update,2024-04-29 12:32:56,,2024-04-29 12:32:55,,2024-04-29 12:32:41,
2004-01-16,4.12,,,,,
2004-01-17,.,No value available,,,,
2004-01-18,.,No value available,,,,
2004-01-19,4.17,,,,,
2004-01-20,4.16,,,,,
2004-01-21,4.13,,,,,
2004-01-22,4.13,,,,,
2004-01-23,4.10,,,,,
2004-01-24,.,No value available,,,,
2004-01-25,.,No value available,,,,
2004-01-26,4.14,,,,,
2004-01-27,4.18,,,,,
2004-01-28,4.16,,,,,
2004-01-29,4.22,,,,,
2004-01-30,4.24,,,,,
2004-01-31,.,No value available,,,,
2004-02-01,.,No value available,,,,
2004-02-02,4.22,,,,,
2004-02-03,4.19,,,,,
2004-02-04,4.18,,,,,
2004-02-05,4.19,,,,,
2004-02-06,4.22,,,,,
2004-02-07,.,No value available,,,,
2004-02-08,.,No value available,,,,
2004-02-09,4.13,,,,,
2004-02-10,4.12,,,,,
2004-02-11,4.16,,,,,
2004-02-12,4.12,,,,,
2004-02-13,4.10,,,,,
2004-02-14,.,No value available,,,,
2004-02-15,.,No value available,,,,
2004-02-16,4.10,,,,,
2004-02-17,4.08,,,,,
2004-02-18,4.06,,,,,
2004-02-19,4.12,,,,,
2004-02-20,4.12,,,,,
2004-02-21,.,No value available,,,,
2004-02-22,.,No value available,,,,
2004-02-23,4.14,,,,,
2004-02-24,4.10,,,,,
2004-02-25,4.09,,,,,
2004-02-26,4.08,,,,,
2004-02-27,4.06,,,,,
2004-02-28,.,No value available,,,,
2004-02-29,.,No value available,,,,
2004-03-01,4.05,,,,,
2004-03-02,4.06,,,,,
2004-03-03,4.10,,,,,
2004-03-04,4.11,,,,,
2004-03-05,4.09,,,,,
2004-03-06,.,No value available,,,,
2004-03-07,.,No value available,,,,
2004-03-08,3.95,,,,,
2004-03-09,3.94,,,,,
2004-03-10,3.92,,,,,
2004-03-11,3.90,,,,,
2004-03-12,3.90,,,,,
2004-03-13,.,No value available,,,,
2004-03-14,.,No value available,,,,
2004-03-15,3.87,,,,,
2004-03-16,3.89,,,,,
2004-03-17,3.89,,,,,
2004-03-18,3.88,,,,,
2004-03-19,3.90,,,,,
2004-03-20,.,No value available,,,,
2004-03-21,.,No value available,,,,
2004-03-22,3.88,,,,,
2004-03-23,3.88,,,,,
2004-03-24,3.87,,,,,
2004-03-25,3.85,,,,,
2004-03-26,3.84,,,,,
2004-03-27,.,No value available,,,,
2004-03-28,.,No value available,,,,
2004-03-29,3.91,,,,,
2004-03-30,3.94,,,,,
2004-03-31,3.95,,,,,
2004-04-01,3.92,,,,,
2004-04-02,3.95,,,,,
2004-04-03,.,No value available,,,,
2004-04-04,.,No value available,,,,
2004-04-05,4.07,,,,,
2004-04-06,4.08,,,,,
2004-04-07,4.05,,,,,
2004-04-08,4.07,,,,,
2004-04-09,.,No value available,,,,
2004-04-10,.,No value available,,,,
2004-04-11,.,No value available,,,,
2004-04-12,.,No value available,,,,
2004-04-13,4.12,,,,,
2004-04-14,4.13,,,,,
2004-04-15,4.15,,,,,
2004-04-16,4.13,,,,,
2004-04-17,.,No value available,,,,
2004-04-18,.,No value available,,,,
2004-04-19,4.10,,,,,
2004-04-20,4.14,,,,,
2004-04-21,4.17,,,,,
2004-04-22,4.16,,,,,
2004-04-23,4.14,,,,,
2004-04-24,.,No value available,,,,
2004-04-25,.,No value available,,,,
2004-04-26,4.20,,,,,
2004-04-27,4.17,,,,,
2004-04-28,4.18,,,,,
2004-04-29,4.21,,,,,
2004-04-30,4.20,,,,,
2004-05-01,.,No value available,,,,
2004-05-02,.,No value available,,,,
2004-05-03,4.17,,,,,
2004-05-04,4.15,,,,,
2004-05-05,4.14,,,,,
2004-05-06,4.18,,,,,
2004-05-07,4.22,,,,,
2004-05-08,.,No value available,,,,
2004-05-09,.,No value available,,,,
2004-05-10,4.28,,,,,
2004-05-11,4.29,,,,,
2004-05-12,4.28,,,,,
2004-05-13,4.35,,,,,
2004-05-14,4.35,,,,,
2004-05-15,.,No value available,,,,
2004-05-16,.,No value available,,,,
2004-05-17,4.27,,,,,
2004-05-18,4.28,,,,,
2004-05-19,4.33,,,,,
2004-05-20,4.33,,,,,
2004-05-21,4.29,,,,,
2004-05-22,.,No value available,,,,
2004-05-23,.,No value available,,,,
2004-05-24,4.34,,,,,
2004-05-25,4.31,,,,,
2004-05-26,4.33,,,,,
2004-05-27,4.31,,,,,
2004-05-28,4.31,,,,,
2004-05-29,.,No value available,,,,
2004-05-30,.,No value available,,,,
2004-05-31,4.33,,,,,
2004-06-01,4.35,,,,,
2004-06-02,4.36,,,,,
2004-06-03,4.39,,,,,
2004-06-04,4.37,,,,,
2004-06-05,.,No value available,,,,
2004-06-06,.,No value available,,,,
2004-06-07,4.40,,,,,
2004-06-08,4.38,,,,,
2004-06-09,4.35,,,,,
2004-06-10,4.40,,,,,
2004-06-11,4.41,,,,,
2004-06-12,.,No value available,,,,
2004-06-13,.,No value available,,,,
2004-06-14,4.43,,,,,
2004-06-15,4.43,,,,,
2004-06-16,4.34,,,,,
2004-06-17,4.38,,,,,
2004-06-18,4.35,,,,,
2004-06-19,.,No value available,,,,
2004-06-20,.,No value available,,,,
2004-06-21,4.36,,,,,
2004-06-22,4.35,,,,,
2004-06-23,4.35,,,,,
2004-06-24,4.32,,,,,
2004-06-25,4.30,,,,,
2004-06-26,.,No value available,,,,
2004-06-27,.,No value available,,,,
2004-06-28,4.32,,,,,
2004-06-29,4.37,,,,,
2004-06-30,4.35,,,,,
2004-07-01,4.33,,,,,
2004-07-02,4.29,,,,,
2004-07-03,.,No value available,,,,
2004-07-04,.,No value available,,,,
2004-07-05,4.26,,,,,
2004-07-06,4.25,,,,,
2004-07-07,4.26,,,,,
2004-07-08,4.23,,,,,
2004-07-09,4.23,,,,,
2004-07-10,.,No value available,,,,
2004-07-11,.,No value available,,,,
2004-07-12,4.22,,,,,
2004-07-13,4.25,,,,,
2004-07-14,4.25,,,,,
2004-07-15,4.26,,,,,
2004-07-16,4.25,,,,,
2004-07-17,.,No value available,,,,
2004-07-18,.,No value available,,,,
2004-07-19,4.21,,,,,
2004-07-20,4.19,,,,,
2004-07-21,4.26,,,,,
2004-07-22,4.27,,,,,
2004-07-23,4.26,,,,,
2004-07-24,.,No value available,,,,
2004-07-25,.,No value available,,,,
2004-07-26,4.25,,,,,
2004-07-27,4.27,,,,,
2004-07-28,4.31,,,,,
2004-07-29,4.30,,,,,
2004-07-30,4.25,,,,,
2004-07-31,.,No value available,,,,
2004-08-01,.,No value available,,,,
2004-08-02,4.25,,,,,
2004-08-03,4.21,,,,,
2004-08-04,4.18,,,,,
2004-08-05,4.18,,,,,
2004-08-06,4.15,,,,,
2004-08-07,.,No value available,,,,
2004-08-08,.,No value available,,,,
2004-08-09,4.08,,,,,
2004-08-10,4.07,,,,,
2004-08-11,4.10,,,,,
2004-08-12,4.09,,,,,
2004-08-13,4.06,,,,,
2004-08-14,.,No value available,,,,
2004-08-15,.,No value available,,,,
2004-08-16,4.05,,,,,
2004-08-17,4.08,,,,,
2004-08-18,4.05,,,,,
2004-08-19,4.09,,,,,
2004-08-20,4.06,,,,,
2004-08-21,.,No value available,,,,
2004-08-22,.,No value available,,,,
2004-08-23,4.09,,,,,
2004-08-24,4.11,,,,,
2004-08-25,4.10,,,,,
2004-08-26,4.08,,,,,
2004-08-27,4.05,,,,,
2004-08-28,.,No value available,,,,
2004-08-29,.,No value available,,,,
2004-08-30,4.08,,,,,
2004-08-31,4.07,,,,,
2004-09-01,4.02,,,,,
2004-09-02,4.04,,,,,
2004-09-03,4.09,,,,,
2004-09-04,.,No value available,,,,
2004-09-05,.,No value available,,,,
2004-09-06,4.15,,,,,
2004-09-07,4.13,,,,,
2004-09-08,4.15,,,,,
2004-09-09,4.09,,,,,
2004-09-10,4.07,,,,,
2004-09-11,.,No value available,,,,
2004-09-12,.,No value available,,,,
2004-09-13,4.25,,,,,
2004-09-14,4.06,,,,,
2004-09-15,4.04,,,,,
2004-09-16,4.08,,,,,
2004-09-17,4.01,,,,,
2004-09-18,.,No value available,,,,
2004-09-19,.,No value available,,,,
2004-09-20,4.02,,,,,
2004-09-21,4.02,,,,,
2004-09-22,4.00,,,,,
2004-09-23,3.96,,,,,
2004-09-24,3.96,,,,,
2004-09-25,.,No value available,,,,
2004-09-26,.,No value available,,,,
2004-09-27,3.96,,,,,
2004-09-28,3.95,,,,,
2004-09-29,3.97,,,,,
2004-09-30,3.99,,,,,
2004-10-01,4.00,,,,,
2004-10-02,.,No value available,,,,
2004-10-03,.,No value available,,,,
2004-10-04,4.03,,,,,
2004-10-05,4.02,,,,,
2004-10-06,3.99,,,,,
2004-10-07,4.01,,,,,
2004-10-08,3.99,,,,,
2004-10-09,.,No value available,,,,
2004-10-10,.,No value available,,,,
2004-10-11,3.95,,,,,
2004-10-12,3.92,,,,,
2004-10-13,3.93,,,,,
2004-10-14,3.90,,,,,
2004-10-15,3.88,,,,,
2004-10-16,.,No value available,,,,
2004-10-17,.,No value available,,,,
2004-10-18,3.90,,,,,
2004-10-19,3.90,,,,,
2004-10-20,3.88,,,,,
2004-10-21,3.85,,,,,
2004-10-22,3.87,,,,,
2004-10-23,.,No value available,,,,
2004-10-24,.,No value available,,,,
2004-10-25,3.83,,,,,
2004-10-26,3.82,,,,,
2004-10-27,3.84,,,,,
2004-10-28,3.88,,,,,
2004-10-29,3.88,,,,,
2004-10-30,.,No value available,,,,
2004-10-31,.,No value available,,,,
2004-11-01,3.87,,,,,
2004-11-02,3.89,,,,,
2004-11-03,3.91,,,,,
2004-11-04,3.87,,,,,
2004-11-05,3.85,,,,,
2004-11-06,.,No value available,,,,
2004-11-07,.,No value available,,,,
2004-11-08,3.90,,,,,
2004-11-09,3.89,,,,,
2004-11-10,3.86,,,,,
2004-11-11,3.85,,,,,
2004-11-12,3.79,,,,,
2004-11-13,.,No value available,,,,
2004-11-14,.,No value available,,,,
2004-11-15,3.77,,,,,
2004-11-16,3.74,,,,,
2004-11-17,3.74,,,,,
2004-11-18,3.74,,,,,
2004-11-19,3.77,,,,,
2004-11-20,.,No value available,,,,
2004-11-21,.,No value available,,,,
2004-11-22,3.77,,,,,
2004-11-23,3.76,,,,,
2004-11-24,3.74,,,,,
2004-11-25,3.78,,,,,
2004-11-26,3.79,,,,,
2004-11-27,.,No value available,,,,
2004-11-28,.,No value available,,,,
2004-11-29,3.77,,,,,
2004-11-30,3.80,,,,,
2004-12-01,3.78,,,,,
2004-12-02,3.77,,,,,
2004-12-03,3.83,,,,,
2004-12-04,.,No value available,,,,
2004-12-05,.,No value available,,,,
2004-12-06,3.73,,,,,
2004-12-07,3.70,,,,,
2004-12-08,3.68,,,,,
2004-12-09,3.65,,,,,
2004-12-10,3.64,,,,,
2004-12-11,.,No value available,,,,
2004-12-12,.,No value available,,,,
2004-12-13,3.62,,,,,
2004-12-14,3.61,,,,,
2004-12-15,3.57,,,,,
2004-12-16,3.54,,,,,
2004-12-17,3.59,,,,,
2004-12-18,.,No value available,,,,
2004-12-19,.,No value available,,,,
2004-12-20,3.54,,,,,
2004-12-21,3.58,,,,,
2004-12-22,3.61,,,,,
2004-12-23,3.60,,,,,
2004-12-24,.,No value available,,,,
2004-12-25,.,No value available,,,,
2004-12-26,.,No value available,,,,
2004-12-27,3.58,,,,,
2004-12-28,3.62,,,,,
2004-12-29,3.68,,,,,
2004-12-30,3.71,,,,,
2004-12-31,.,No value available,,,,
2005-01-01,.,No value available,,,,
2005-01-02,.,No value available,,,,
2005-01-03,3.66,,,,,
2005-01-04,3.65,,,,,
2005-01-05,3.68,,,,,
2005-01-06,3.67,,,,,
2005-01-07,3.61,,,,,
2005-01-08,.,No value available,,,,
2005-01-09,.,No value available,,,,
2005-01-10,3.60,,,,,
2005-01-11,3.59,,,,,
2005-01-12,3.61,,,,,
2005-01-13,3.62,,,,,
2005-01-14,3.55,,,,,
2005-01-15,.,No value available,,,,
2005-01-16,.,No value available,,,,
2005-01-17,3.55,,,,,
2005-01-18,3.56,,,,,
2005-01-19,3.51,,,,,
2005-01-20,3.56,,,,,
2005-01-21,3.56,,,,,
2005-01-22,.,No value available,,,,
2005-01-23,.,No value available,,,,
2005-01-24,3.55,,,,,
2005-01-25,3.54,,,,,
2005-01-26,3.56,,,,,
2005-01-27,3.60,,,,,
2005-01-28,3.57,,,,,
2005-01-29,.,No value available,,,,
2005-01-30,.,No value available,,,,
2005-01-31,3.55,,,,,
2005-02-01,3.54,,,,,
2005-02-02,3.53,,,,,
2005-02-03,3.56,,,,,
2005-02-04,3.55,,,,,
2005-02-05,.,No value available,,,,
2005-02-06,.,No value available,,,,
2005-02-07,3.50,,,,,
2005-02-08,3.50,,,,,
2005-02-09,3.44,,,,,
2005-02-10,3.43,,,,,
2005-02-11,3.45,,,,,
2005-02-12,.,No value available,,,,
2005-02-13,.,No value available,,,,
2005-02-14,3.49,,,,,
2005-02-15,3.49,,,,,
2005-02-16,3.51,,,,,
2005-02-17,3.56,,,,,
2005-02-18,3.61,,,,,
2005-02-19,.,No value available,,,,
2005-02-20,.,No value available,,,,
2005-02-21,3.66,,,,,
2005-02-22,3.67,,,,,
2005-02-23,3.69,,,,,
2005-02-24,3.72,,,,,
2005-02-25,3.71,,,,,
2005-02-26,.,No value available,,,,
2005-02-27,.,No value available,,,,
2005-02-28,3.68,,,,,
2005-03-01,3.72,,,,,
2005-03-02,3.73,,,,,
2005-03-03,3.77,,,,,
2005-03-04,3.75,,,,,
2005-03-05,.,No value available,,,,
2005-03-06,.,No value available,,,,
2005-03-07,3.67,,,,,
2005-03-08,3.66,,,,,
2005-03-09,3.71,,,,,
2005-03-10,3.78,,,,,
2005-03-11,3.76,,,,,
2005-03-12,.,No value available,,,,
2005-03-13,.,No value available,,,,
2005-03-14,3.79,,,,,
2005-03-15,3.74,,,,,
2005-03-16,3.72,,,,,
2005-03-17,3.68,,,,,
2005-03-18,3.69,,,,,
2005-03-19,.,No value available,,,,
2005-03-20,.,No value available,,,,
2005-03-21,3.73,,,,,
2005-03-22,3.70,,,,,
2005-03-23,3.73,,,,,
2005-03-24,3.72,,,,,
2005-03-25,.,No value available,,,,
2005-03-26,.,No value available,,,,
2005-03-27,.,No value available,,,,
2005-03-28,.,No value available,,,,
2005-03-29,3.72,,,,,
2005-03-30,3.68,,,,,
2005-03-31,3.64,,,,,
2005-04-01,3.61,,,,,
2005-04-02,.,No value available,,,,
2005-04-03,.,No value available,,,,
2005-04-04,3.60,,,,,
2005-04-05,3.60,,,,,
2005-04-06,3.60,,,,,
2005-04-07,3.59,,,,,
2005-04-08,3.58,,,,,
2005-04-09,.,No value available,,,,
2005-04-10,.,No value available,,,,
2005-04-11,3.55,,,,,
2005-04-12,3.55,,,,,
2005-04-13,3.52,,,,,
2005-04-14,3.52,,,,,
2005-04-15,3.48,,,,,
2005-04-16,.,No value available,,,,
2005-04-17,.,No value available,,,,
2005-04-18,3.44,,,,,
2005-04-19,3.48,,,,,
2005-04-20,3.45,,,,,
2005-04-21,3.45,,,,,
2005-04-22,3.48,,,,,
2005-04-23,.,No value available,,,,
2005-04-24,.,No value available,,,,
2005-04-25,3.45,,,,,
2005-04-26,3.43,,,,,
2005-04-27,3.45,,,,,
2005-04-28,3.41,,,,,
2005-04-29,3.38,,,,,
2005-04-30,.,No value available,,,,
2005-05-01,.,No value available,,,,
2005-05-02,3.39,,,,,
2005-05-03,3.39,,,,,
2005-05-04,3.38,,,,,
2005-05-05,3.39,,,,,
2005-05-06,3.38,,,,,
2005-05-07,.,No value available,,,,
2005-05-08,.,No value available,,,,
2005-05-09,3.43,,,,,
2005-05-10,3.39,,,,,
2005-05-11,3.34,,,,,
2005-05-12,3.33,,,,,
2005-05-13,3.30,,,,,
2005-05-14,.,No value available,,,,
2005-05-15,.,No value available,,,,
2005-05-16,3.32,,,,,
2005-05-17,3.32,,,,,
2005-05-18,3.35,,,,,
2005-05-19,3.35,,,,,
2005-05-20,3.37,,,,,
2005-05-21,.,No value available,,,,
2005-05-22,.,No value available,,,,
2005-05-23,3.38,,,,,
2005-05-24,3.30,,,,,
2005-05-25,3.28,,,,,
2005-05-26,3.30,,,,,
2005-05-27,3.30,,,,,
2005-05-28,.,No value available,,,,
2005-05-29,.,No value available,,,,
2005-05-30,3.34,,,,,
2005-05-31,3.30,,,,,
2005-06-01,3.27,,,,,
2005-06-02,3.24,,,,,
2005-06-03,3.20,,,,,
2005-06-04,.,No value available,,,,
2005-06-05,.,No value available,,,,
2005-06-06,3.22,,,,,
2005-06-07,3.18,,,,,
2005-06-08,3.13,,,,,
2005-06-09,3.14,,,,,
2005-06-10,3.13,,,,,
2005-06-11,.,No value available,,,,
2005-06-12,.,No value available,,,,
2005-06-13,3.15,,,,,
2005-06-14,3.19,,,,,
2005-06-15,3.22,,,,,
2005-06-16,3.35,,,,,
2005-06-17,3.27,,,,,
2005-06-18,.,No value available,,,,
2005-06-19,.,No value available,,,,
2005-06-20,3.30,,,,,
2005-06-21,3.21,,,,,
2005-06-22,3.15,,,,,
2005-06-23,3.15,,,,,
2005-06-24,3.12,,,,,
2005-06-25,.,No value available,,,,
2005-06-26,.,No value available,,,,
2005-06-27,3.12,,,,,
2005-06-28,3.13,,,,,
2005-06-29,3.19,,,,,
2005-06-30,3.15,,,,,
2005-07-01,3.15,,,,,
2005-07-02,.,No value available,,,,
2005-07-03,.,No value available,,,,
2005-07-04,3.19,,,,,
2005-07-05,3.23,,,,,
2005-07-06,3.21,,,,,
2005-07-07,3.15,,,,,
2005-07-08,3.19,,,,,
2005-07-09,.,No value available,,,,
2005-07-10,.,No value available,,,,
2005-07-11,3.18,,,,,
2005-07-12,3.23,,,,,
2005-07-13,3.25,,,,,
2005-07-14,3.26,,,,,
2005-07-15,3.28,,,,,
2005-07-16,.,No value available,,,,
2005-07-17,.,No value available,,,,
2005-07-18,3.26,,,,,
2005-07-19,3.30,,,,,
2005-07-20,3.28,,,,,
2005-07-21,3.26,,,,,
2005-07-22,3.26,,,,,
2005-07-23,.,No value available,,,,
2005-07-24,.,No value available,,,,
2005-07-25,3.23,,,,,
2005-07-26,3.24,,,,,
2005-07-27,3.21,,,,,
2005-07-28,3.23,,,,,
2005-07-29,3.22,,,,,
2005-07-30,.,No value available,,,,
2005-07-31,.,No value available,,,,
2005-08-01,3.28,,,,,
2005-08-02,3.30,,,,,
2005-08-03,3.34,,,,,
2005-08-04,3.33,,,,,
2005-08-05,3.33,,,,,
2005-08-06,.,No value available,,,,
2005-08-07,.,No value available,,,,
2005-08-08,3.37,,,,,
2005-08-09,3.37,,,,,
2005-08-10,3.34,,,,,
2005-08-11,3.36,,,,,
2005-08-12,3.30,,,,,
2005-08-13,.,No value available,,,,
2005-08-14,.,No value available,,,,
2005-08-15,3.27,,,,,
2005-08-16,3.28,,,,,
2005-08-17,3.24,,,,,
2005-08-18,3.20,,,,,
2005-08-19,3.18,,,,,
2005-08-20,.,No value available,,,,
2005-08-21,.,No value available,,,,
2005-08-22,3.20,,,,,
2005-08-23,3.19,,,,,
2005-08-24,3.18,,,,,
2005-08-25,3.15,,,,,
2005-08-26,3.15,,,,,
2005-08-27,.,No value available,,,,
2005-08-28,.,No value available,,,,
2005-08-29,3.14,,,,,
2005-08-30,3.17,,,,,
2005-08-31,3.13,,,,,
2005-09-01,3.11,,,,,
2005-09-02,3.05,,,,,
2005-09-03,.,No value available,,,,
2005-09-04,.,No value available,,,,
2005-09-05,3.04,,,,,
2005-09-06,3.07,,,,,
2005-09-07,3.07,,,,,
2005-09-08,3.08,,,,,
2005-09-09,3.07,,,,,
2005-09-10,.,No value available,,,,
2005-09-11,.,No value available,,,,
2005-09-12,3.07,,,,,
2005-09-13,3.13,,,,,
2005-09-14,3.09,,,,,
2005-09-15,3.11,,,,,
2005-09-16,3.13,,,,,
2005-09-17,.,No value available,,,,
2005-09-18,.,No value available,,,,
2005-09-19,3.11,,,,,
2005-09-20,3.08,,,,,
2005-09-21,3.04,,,,,
2005-09-22,3.01,,,,,
2005-09-23,3.04,,,,,
2005-09-24,.,No value available,,,,
2005-09-25,.,No value available,,,,
2005-09-26,3.11,,,,,
2005-09-27,3.13,,,,,
2005-09-28,3.15,,,,,
2005-09-29,3.11,,,,,
2005-09-30,3.14,,,,,
2005-10-01,.,No value available,,,,
2005-10-02,.,No value available,,,,
2005-10-03,3.17,,,,,
2005-10-04,3.20,,,,,
2005-10-05,3.16,,,,,
2005-10-06,3.18,,,,,
2005-10-07,3.19,,,,,
2005-10-08,.,No value available,,,,
2005-10-09,.,No value available,,,,
2005-10-10,3.16,,,,,
2005-10-11,3.17,,,,,
2005-10-12,3.19,,,,,
2005-10-13,3.25,,,,,
2005-10-14,3.27,,,,,
2005-10-15,.,No value available,,,,
2005-10-16,.,No value available,,,,
2005-10-17,3.28,,,,,
2005-10-18,3.31,,,,,
2005-10-19,3.26,,,,,
2005-10-20,3.29,,,,,
2005-10-21,3.27,,,,,
2005-10-22,.,No value available,,,,
2005-10-23,.,No value available,,,,
2005-10-24,3.23,,,,,
2005-10-25,3.29,,,,,
2005-10-26,3.35,,,,,
2005-10-27,3.37,,,,,
2005-10-28,3.38,,,,,
2005-10-29,.,No value available,,,,
2005-10-30,.,No value available,,,,
2005-10-31,3.39,,,,,
2005-11-01,3.38,,,,,
2005-11-02,3.42,,,,,
2005-11-03,3.46,,,,,
2005-11-04,3.48,,,,,
2005-11-05,.,No value available,,,,
2005-11-06,.,No value available,,,,
2005-11-07,3.49,,,,,
2005-11-08,3.51,,,,,
2005-11-09,3.47,,,,,
2005-11-10,3.52,,,,,
2005-11-11,3.50,,,,,
2005-11-12,.,No value available,,,,
2005-11-13,.,No value available,,,,
2005-11-14,3.49,,,,,
2005-11-15,3.54,,,,,
2005-11-16,3.50,,,,,
2005-11-17,3.44,,,,,
2005-11-18,3.46,,,,,
2005-11-19,.,No value available,,,,
2005-11-20,.,No value available,,,,
2005-11-21,3.53,,,,,
2005-11-22,3.49,,,,,
2005-11-23,3.49,,,,,
2005-11-24,3.45,,,,,
2005-11-25,3.41,,,,,
2005-11-26,.,No value available,,,,
2005-11-27,.,No value available,,,,
2005-11-28,3.44,,,,,
2005-11-29,3.39,,,,,
2005-11-30,3.44,,,,,
2005-12-01,3.41,,,,,
2005-12-02,3.41,,,,,
2005-12-03,.,No value available,,,,
2005-12-04,.,No value available,,,,
2005-12-05,3.42,,,,,
2005-12-06,3.41,,,,,
2005-12-07,3.37,,,,,
2005-12-08,3.37,,,,,
2005-12-09,3.38,,,,,
2005-12-10,.,No value available,,,,
2005-12-11,.,No value available,,,,
2005-12-12,3.42,,,,,
2005-12-13,3.42,,,,,
2005-12-14,3.36,,,,,
2005-12-15,3.36,,,,,
2005-12-16,3.36,,,,,
2005-12-17,.,No value available,,,,
2005-12-18,.,No value available,,,,
2005-12-19,3.34,,,,,
2005-12-20,3.35,,,,,
2005-12-21,3.37,,,,,
2005-12-22,3.40,,,,,
2005-12-23,3.35,,,,,
2005-12-24,.,No value available,,,,
2005-12-25,.,No value available,,,,
2005-12-26,.,No value available,,,,
2005-12-27,3.33,,,,,
2005-12-28,3.32,,,,,
2005-12-29,3.32,,,,,
2005-12-30,3.30,,,,,
2005-12-31,.,No value available,,,,
2006-01-01,.,No value available,,,,
2006-01-02,3.34,,,,,
2006-01-03,3.35,,,,,
2006-01-04,3.32,,,,,
2006-01-05,3.30,,,,,
2006-01-06,3.27,,,,,
2006-01-07,.,No value available,,,,
2006-01-08,.,No value available,,,,
2006-01-09,3.25,,,,,
2006-01-10,3.27,,,,,
2006-01-11,3.29,,,,,
2006-01-12,3.30,,,,,
2006-01-13,3.27,,,,,
2006-01-14,.,No value available,,,,
2006-01-15,.,No value available,,,,
2006-01-16,3.27,,,,,
2006-01-17,3.25,,,,,
2006-01-18,3.24,,,,,
2006-01-19,3.31,,,,,
2006-01-20,3.32,,,,,
2006-01-21,.,No value available,,,,
2006-01-22,.,No value available,,,,
2006-01-23,3.34,,,,,
2006-01-24,3.38,,,,,
2006-01-25,3.40,,,,,
2006-01-26,3.44,,,,,
2006-01-27,3.47,,,,,
2006-01-28,.,No value available,,,,
2006-01-29,.,No value available,,,,
2006-01-30,3.49,,,,,
2006-01-31,3.48,,,,,
2006-02-01,3.45,,,,,
2006-02-02,3.51,,,,,
2006-02-03,3.50,,,,,
2006-02-04,.,No value available,,,,
2006-02-05,.,No value available,,,,
2006-02-06,3.48,,,,,
2006-02-07,3.47,,,,,
2006-02-08,3.50,,,,,
2006-02-09,3.51,,,,,
2006-02-10,3.46,,,,,
2006-02-11,.,No value available,,,,
2006-02-12,.,No value available,,,,
2006-02-13,3.51,,,,,
2006-02-14,3.49,,,,,
2006-02-15,3.50,,,,,
2006-02-16,3.51,,,,,
2006-02-17,3.47,,,,,
2006-02-18,.,No value available,,,,
2006-02-19,.,No value available,,,,
2006-02-20,3.44,,,,,
2006-02-21,3.45,,,,,
2006-02-22,3.46,,,,,
2006-02-23,3.45,,,,,
2006-02-24,3.48,,,,,
2006-02-25,.,No value available,,,,
2006-02-26,.,No value available,,,,
2006-02-27,3.51,,,,,
2006-02-28,3.51,,,,,
2006-03-01,3.51,,,,,
2006-03-02,3.51,,,,,
2006-03-03,3.58,,,,,
2006-03-04,.,No value available,,,,
2006-03-05,.,No value available,,,,
2006-03-06,3.58,,,,,
2006-03-07,3.60,,,,,
2006-03-08,3.60,,,,,
2006-03-09,3.65,,,,,
2006-03-10,3.65,,,,,
2006-03-11,.,No value available,,,,
2006-03-12,.,No value available,,,,
2006-03-13,3.70,,,,,
2006-03-14,3.68,,,,,
2006-03-15,3.65,,,,,
2006-03-16,3.69,,,,,
2006-03-17,3.63,,,,,
2006-03-18,.,No value available,,,,
2006-03-19,.,No value available,,,,
2006-03-20,3.68,,,,,
2006-03-21,3.67,,,,,
2006-03-22,3.65,,,,,
2006-03-23,3.62,,,,,
2006-03-24,3.66,,,,,
2006-03-25,.,No value available,,,,
2006-03-26,.,No value available,,,,
2006-03-27,3.63,,,,,
2006-03-28,3.70,,,,,
2006-03-29,3.75,,,,,
2006-03-30,3.76,,,,,
2006-03-31,3.77,,,,,
2006-04-01,.,No value available,,,,
2006-04-02,.,No value available,,,,
2006-04-03,3.79,,,,,
2006-04-04,3.84,,,,,
2006-04-05,3.83,,,,,
2006-04-06,3.87,,,,,
2006-04-07,3.87,,,,,
2006-04-08,.,No value available,,,,
2006-04-09,.,No value available,,,,
2006-04-10,3.88,,,,,
2006-04-11,3.86,,,,,
2006-04-12,3.86,,,,,
2006-04-13,3.89,,,,,
2006-04-14,.,No value available,,,,
2006-04-15,.,No value available,,,,
2006-04-16,.,No value available,,,,
2006-04-17,.,No value available,,,,
2006-04-18,3.93,,,,,
2006-04-19,3.89,,,,,
2006-04-20,3.94,,,,,
2006-04-21,3.91,,,,,
2006-04-22,.,No value available,,,,
2006-04-23,.,No value available,,,,
2006-04-24,3.92,,,,,
2006-04-25,3.98,,,,,
2006-04-26,3.98,,,,,
2006-04-27,4.02,,,,,
2006-04-28,3.99,,,,,
2006-04-29,.,No value available,,,,
2006-04-30,.,No value available,,,,
2006-05-01,.,No value available,,,,
2006-05-02,3.99,,,,,
